,season,player,position,player_id,team,games,carries,ru_yards,xRush_yards,ru_TD,ru_xTD,fantasy_points,team_carries,team_ru_xTD,carry_share,ru_xTD_share,targets,receptions,cp,re_yards,air_yards,modeled_yards,xRec_yards,re_TD,re_xTD,team_targets,team_air_yards,team_re_xTD,target_share,air_yard_share,re_xTD_share,team_target_index,adj_target_share,adj_air_yard_share,adj_re_xTD_share,aDOT,RACR,WOPR,new_WOPR_0,new_WOPR_0.5,new_WOPR_1,BPI,xRec,opps,wOpps,xTD,OPPO,OPPO_0ppr,carries_share,targets_share,team_opps,opps_share,team_wOpps,wOpps_share,team_xTD,xTD_share,team_OPPO,OPPO_share,team_OPPO_0ppr,OPPO_0ppr_share,total_yards,TD,FP,FP_0ppr,PAO,PAO_0ppr,opp_share,wOpp_share,FP_pg,OPPO_pg,OPPO_0ppr_pg,PAO_pg,yards,xYards
276,2023,Justin Watson,WR,00-0034386,KC,10,0,0,0.0,0,0.0,0.0,209,6.826709849005038,0.0,0.0,39,20,4.691023,332,716.0,891.4549239400076,346.3803602186759,2,2.967595798894763,356,2403.0,17.457187656662427,0.10955056179775281,2.8566573121946677,0.16999277645744953,11.006215139442233,1.2057370517928288,3.1849891171325706,2.1287480068261946,191.6090909090909,5.536800782534006,3.634502573960619,1.7250356918369514,1.5346281936621888,1.3956684490104223,22.14339401292526,18.37727615237236,39,78,2.967595798894763,70.82088696760853,52.44361081523617,0.0,1.0898949702829013,565,0.6950391268398222,921,0.8469951865644646,24.283897505667465,0.12220426305959226,721.5563904687598,1.0011453544502322,476.89859253613497,1.1282339449225354,332,2,65.2,45.2,-5.62088696760853,-7.2436108152361705,0.06902654867256637,0.08469055374592833,6.5200000000000005,7.082088696760853,5.244361081523617,-0.5620886967608527,332,346.3803602186759
277,2023,Justyn Ross,WR,00-0037216,KC,3,0,0,0.0,0,0.0,0.0,70,3.110117784643777,0.0,0.0,6,3,2.1906898,34,50.0,66.88919913768768,46.30417269900925,0,0.23572724987752736,113,830.0,8.099017422529869,0.05309734513274336,0.20125296245864954,0.029105660301678157,3.493545816733068,0.1854980079681275,0.2400865887426485,0.1095311902532819,21.5,1.736842105263158,0.3758043086482896,0.17683107360743744,0.17800306667774296,0.17856553307332687,2.440835622508465,4.241980254650116,6,12,0.23572724987752736,10.286761023816204,6.044780769166088,0.0,0.15661815661815662,183,0.09967793880837358,296,0.12165402731440468,11.209135207173645,0.021029922962002113,244.84874166012253,0.12774564377511272,170.52964297891106,0.11134574119415237,34,0,6.4,3.4,-3.886761023816205,-2.644780769166089,0.03278688524590164,0.04054054054054054,2.1333333333333333,3.428920341272068,2.014926923055363,-1.2955870079387348,34,46.30417269900925
278,2023,Juwan Johnson,TE,00-0036040,NO,8,0,0,0.0,0,0.0,0.0,210,8.740942881101759,0.0,0.0,32,18,5.5157666,142,233.0,370.50363060389645,240.5311428742483,1,1.5584563279990107,268,2423.0,13.674689636332914,0.11940298507462686,0.7842868447134651,0.11396648621978785,8.285577689243029,0.9893227091633467,0.8305753359400101,0.9040101232397376,60.17857142857143,5.299770550401636,1.9743765214228737,0.9451147678823393,0.9611010565390571,0.9727353039235802,8.311197743916306,22.234991550445557,32,64,1.5584563279990107,55.638843805864454,33.4038522554189,0.0,0.9502504867489655,478,0.5390298663324979,746,0.6854082174935819,22.415632517434673,0.06952542279531294,603.3736557297312,0.7409299349945021,424.6417587034308,0.6399874340948101,142,1,38.2,20.2,-17.438843805864455,-13.203852255418896,0.06694560669456066,0.08579088471849866,4.775,6.954855475733057,4.175481531927362,-2.1798554757330564,142,240.5311428742483
279,2023,Juwann Winfree,WR,00-0035593,IND,1,0,0,0.0,0,0.0,0.0,23,1.1593704391078974,0.0,0.0,1,0,0.26854634,0,26.0,35.1801815032959,9.447509083499881,0,0.02559436857700348,38,303.0,1.6831959870178252,0.02631578947368421,0.0858085808580858,0.015205816063255878,1.1748207171314742,0.030916334661354582,0.10080969849973045,0.01786410773200356,26.0,0.0,0.09953969081118638,0.038907790225380566,0.03507487367501441,0.03214580198336749,2.5943532948038595,0.26854634284973145,1,2,0.02559436857700348,1.3668634626617404,1.098317119812009,0.0,0.02631578947368421,61,0.01639344262295082,99,0.020202020202020204,2.842566426125723,0.009003964988036298,80.84393484447295,0.016907433628648872,54.61483148787314,0.020110235441372422,0,0,0.0,0.0,-1.3668634626617404,-1.098317119812009,0.01639344262295082,0.020202020202020204,0.0,1.3668634626617404,1.098317119812009,-1.3668634626617404,0,9.447509083499881
280,2023,K.J. Osborn,WR,00-0036345,MIN,11,0,0,0.0,0,0.0,0.0,230,6.4500430494355445,0.0,0.0,55,36,6.9442153,418,476.0,687.4959283916396,417.3823668168066,2,4.0029856958426535,400,2896.0,25.058110082289204,0.1375,1.8387859316348563,0.15974810880378085,12.366533864541834,1.7003984063745021,2.082232935640185,1.8077787454830339,106.82222222222222,9.780654806253061,3.5445342175534664,1.7845586928240598,1.752302302729474,1.7285574282381533,17.135268529387883,35.52483358979225,55,110,4.0029856958426535,101.28098444652883,65.75615085673658,0.0,1.5049227102727114,630,0.9566203652893928,1030,1.161767591626989,31.508153131724747,0.1270460277093217,839.693927165323,1.33381405197766,570.7775495315129,1.2693351214555928,418,2,89.8,53.8,-11.480984446528835,-11.956150856736581,0.0873015873015873,0.10679611650485436,8.163636363636364,9.207362222411712,5.977831896066962,-1.043725858775348,418,417.3823668168066
281,2023,Kadarius Toney,WR,00-0036913,KC,11,9,15,40.229477882385254,0,0.21867266746763614,1.5000000000000002,229,6.101357351939171,0.039301310043668124,0.035840003273720104,30,22,7.561798,139,88.0,255.02162665128708,184.61265877108238,1,1.2490733384620398,394,2579.0,20.073195976554416,0.07614213197969544,0.3187738496123725,0.06222593252818152,11.253545816733068,0.9274900398406375,0.35248925264054753,0.6796952510354992,36.63333333333333,1.5478750923872866,1.4322144137151729,0.7812397643834588,0.8352668201544569,0.8747546336960174,5.053172629111128,22.885559916496277,39,69,1.4677460059296759,54.1762496174211,31.29068970092482,0.4762227968110321,0.8060484793243414,623,0.6831180964892223,1017,0.7296680899339192,26.174553328493587,0.05607530289091464,793.978094214667,0.7317272986298662,526.2683693115603,0.6456034407976723,154,1,43.4,21.400000000000002,-10.776249617421097,-9.89068970092482,0.06260032102728733,0.06784660766961652,3.9454545454545453,4.925113601583736,2.844608154629529,-0.9796590561291909,154,224.84213665346763
282,2023,Kalif Raymond,WR,00-0032464,DET,12,6,67,31.108023166656494,0,0.039570842221345104,6.7,329,13.640589923091007,0.0182370820668693,0.0029009626742285506,34,26,8.031799,372,291.0,458.2130940556526,281.8412436331756,1,1.1573772239498794,405,2695.0,17.74739368748851,0.08395061728395062,1.1526571875640939,0.06521392629982636,11.748207171314743,1.051155378486056,1.1816313720217781,0.7803550489101281,81.81666666666666,10.017257874619993,2.3102607801992003,1.0102152094361088,1.0186674974068695,1.0238783786783734,9.628320445806281,23.812573850154877,40,74,1.1969480661712244,62.28918892716543,38.47661507701056,0.20856884759323785,1.0022671659362232,734,0.6466007019169168,1139,0.7708981263925331,31.387983610579518,0.03813395855628603,905.7675112029162,0.8126427362853659,624.5663348277656,0.734273354152886,439,1,75.9,49.9,13.610811072834563,11.42338492298944,0.05449591280653951,0.0649692712906058,6.325,5.190765743930453,3.2063845897508796,1.134234256069547,439,312.9492667998321
283,2023,Kareem Hunt,RB,00-0033923,CLE,10,101,334,403.99111491441727,6,3.701834395287343,69.4,289,6.107923557320696,0.3494809688581315,0.6060708456068483,13,10,5.7517433,59,-16.0,87.88536715507507,70.40216364366131,0,0.07057902216911316,344,1870.0,16.406640438362956,0.0377906976744186,-0.06718795440208603,0.0043018570702677925,7.389003984063746,0.4019123505976096,-0.08419327506978463,0.08243000570509568,-8.666666666666668,-1.3333333333333333,0.5272633934479624,0.253339804400748,0.30598072795510023,0.34413024418381216,-0.5728919133118993,10.4611177444458,114,127,3.7724134174564563,80.5349261049924,70.0738083605466,3.4847345410108383,0.38286330768628174,633,1.7760794264878996,977,1.2908871567526228,22.514563995683652,0.16755436250862682,734.9899276283213,1.100032672149963,507.52995845047917,1.3697942310541855,393,6,85.3,75.3,4.765073895007606,5.226191639453403,0.18009478672985782,0.1299897645854657,8.53,8.053492610499239,7.00738083605466,0.4765073895007603,393,474.3932785580786
284,2023,Kavontae Turpin,WR,00-0037801,DAL,9,8,79,38.96384882926941,1,0.19430038719932252,13.900000000000002,219,8.747253826558602,0.0365296803652968,0.022212729966676337,16,11,4.9025154,123,152.0,231.37031103856862,110.59951362516873,3,1.9852838343940675,314,2550.0,20.29317966941744,0.050955414012738856,0.5114194252535992,0.09783010187338766,9.70772908366534,0.4946613545816734,0.5415343713653984,1.0609902227248487,103.66666666666667,12.519289878113408,1.0720943157855904,0.63037267065691,0.5913803078889273,0.5644957394302034,19.150818154423877,9.629600018262863,24,40,2.17958422159339,37.66344159326702,28.033841575004153,0.295721850613155,0.4760671454053807,533,0.4007728608189044,847,0.42861164602557916,29.040433495976043,0.07505343272149852,700.8101401322078,0.4946745012226528,494.1408515565586,0.5249061517149836,202,4,55.2,44.2,17.536558406732983,16.166158424995846,0.0450281425891182,0.047225501770956316,6.133333333333334,4.184826843696335,3.1148712861115726,1.9485064896369986,202,149.56336245443813
285,2023,Kayshon Boutte,WR,00-0038608,NE,3,0,0,0.0,0,0.0,0.0,85,1.0044091347783268,0.0,0.0,7,2,1.6220195,19,125.0,150.42303023848217,60.18175868223161,0,0.6110106990672648,115,655.0,3.8293988411314785,0.06086956521739131,0.5353028662980404,0.1595578638882986,3.555378486055777,0.2164143426294821,0.6819556885176903,0.49480536022950833,46.0,1.4722222222222223,0.6292297109263327,0.35245111747464064,0.3037835966340918,0.2684429185770136,5.349353738225956,3.3061342239379883,7,14,0.6110106990672648,12.990374286564737,9.684240062626749,0.0,0.16967846967846967,200,0.10102375102375102,315,0.12535977434952797,4.833807975909806,0.12640359362894676,224.2789875724379,0.1577274628344748,143.81207506442703,0.1800951187690459,19,0,3.9000000000000004,1.9000000000000001,-9.090374286564737,-7.78424006262675,0.035,0.044444444444444446,1.3,4.3301247621882455,3.228080020875583,-3.0301247621882457,19,60.18175868223161
286,2023,Ke'Shawn Vaughn,RB,00-0036450,TB,5,24,42,101.6409062743187,0,0.45051931411169166,4.2,100,3.1678433506874346,0.24,0.14221641168397017,5,2,3.0738583,2,-2.0,34.221882343292236,26.557825765489326,0,0.11109420331194997,177,1197.0,10.307342557702214,0.02824858757062147,0.00229362735653673,0.01077816155716434,4.266454183266933,0.15458167330677292,0.0019147474212339271,0.0668035974109054,0.5,2.5,0.21927198608431533,0.1107674910483085,0.12650456424741607,0.13794162716384728,0.4312589984326822,3.9039661288261414,29,34,0.5616135174236416,20.093520437348793,16.189554308522652,1.2201532567049809,0.14511096462315975,277,0.5270403768682517,454,0.381333423896716,13.475185908389648,0.04167760810438847,370.60762500954354,0.267178198860313,252.06311056209285,0.31030415534675354,44,0,6.4,4.4,-13.693520437348795,-11.789554308522654,0.10469314079422383,0.07488986784140969,1.28,4.018704087469759,3.2379108617045302,-2.738704087469759,44,128.19873203980802
287,2023,Keaontay Ingram,RB,00-0037299,ARI,7,35,74,157.23047161102295,0,0.1954262590861423,7.400000000000001,175,3.770576285540454,0.2,0.05182928133176092,4,4,2.5368402,26,-5.0,28.634512424468994,24.059537588470818,0,0.029088118579238653,205,773.0,8.728678269311786,0.01951219512195122,-0.03441782552060989,0.0033324768861634434,2.9370517928286857,0.12366533864541833,-0.021090765838521867,0.0193636836570152,-3.5,-2.933333333333333,0.1679501286518638,0.07734517381222966,0.09360135226042454,0.10535889586745235,-0.21491209944211764,3.3565943837165833,39,43,0.22451437766538096,22.83268156965825,19.47608718594166,1.5530374235958944,0.12802840434419382,380,0.7691366729900564,585,0.5431819032010686,12.49925455485224,0.017962221401293405,441.8881412634426,0.3946951729424325,302.5194545874172,0.5354570882901738,100,0,14.0,10.0,-8.832681569658247,-9.476087185941664,0.10263157894736842,0.0735042735042735,2.0,3.2618116528083214,2.7822981694202373,-1.2618116528083214,100,181.29000919949377
288,2023,Keaton Mitchell,RB,00-0038454,BAL,5,29,269,138.80946469306946,2,0.0982977855915178,38.9,134,5.2343370520942125,0.21641791044776118,0.018779414587409827,7,6,3.8237875,70,6.0,51.26157794520259,32.29120343360651,0,0.42421715147793293,136,1225.0,7.940500030526891,0.051470588235294115,0.030390033365288664,0.05342448836308159,4.204621513944224,0.2164143426294821,0.017836911788786932,0.2455580755109858,-1.0,18.442424242424245,0.4173716258401741,0.19190979125091404,0.20330251689113182,0.21196849334163473,1.3284933774852727,5.131694495677948,36,43,0.5225149370694507,25.37685093076225,20.2451564350843,0.9937617340843148,0.264065734989648,270,0.6462688332284906,406,0.522989187372749,13.174837082621103,0.039660068188524245,332.0329938494118,0.38622769271717244,241.1017113887223,0.4245492794052933,339,2,51.9,45.9,26.52314906923775,25.654843564915698,0.13333333333333333,0.10591133004926108,10.379999999999999,5.075370186152449,4.04903128701686,5.30462981384755,339,171.10066812667597
289,2023,Keenan Allen,WR,00-0030279,LAC,12,2,6,9.614351272583008,0,0.13613584583272065,0.6000000000000001,262,11.967908527943527,0.007633587786259542,0.011375074058667892,138,102,7.6860948,1189,1315.0,1868.2075504839304,1075.002146161748,7,7.300895658088848,428,3301.0,26.076021114131436,0.32242990654205606,5.01945730882882,0.279985033994786,13.232191235059762,4.266454183266933,5.602655823492824,3.10913688768543,121.01132756132756,10.649158365213264,9.19607753728257,4.213467186570515,4.1976838392756175,4.181024173406188,15.430346130722551,90.0773531794548,140,278,7.437031503921569,243.16119194641732,153.08383876696251,0.05555555555555555,3.7883049474015973,690,2.4329286718073146,1118,2.9459907505191465,38.043929642074964,0.19548536583603943,924.3203192465272,3.1115282233003687,638.5233671777215,2.8521410496118977,1195,7,263.5,161.5,20.338808053582685,8.416161233037485,0.2028985507246377,0.24865831842576028,21.958333333333332,20.263432662201442,12.756986563913543,1.6949006711318901,1195,1084.616497434331
290,2023,Keith Kirkwood,WR,00-0034317,NO,5,0,0,0.0,0,0.0,0.0,138,3.7125215580400557,0.0,0.0,7,3,2.9750676,21,75.0,95.03915565239731,56.49593015875352,0,0.6824615322984755,163,1490.0,9.310862191021442,0.04294478527607362,0.23434969351636017,0.0732973508035142,5.0393625498007975,0.21641434262948211,0.25421628982399236,0.33435715800503224,50.333333333333336,1.5405405405405406,0.4793562466552662,0.24907035250841342,0.23908051105499456,0.23207955836232852,8.746763311402072,4.349588066339493,7,14,0.6824615322984755,14.093950276005698,9.744362209666205,0.0,0.2102076407958761,301,0.1150384927482641,464,0.14810842166323895,13.023383749061498,0.05240278144669242,363.81265158521796,0.1928211000608112,257.7021676109996,0.19128105880029925,21,0,5.1,2.1,-8.993950276005698,-7.644362209666205,0.023255813953488372,0.03017241379310345,1.02,2.8187900552011396,1.948872441933241,-1.7987900552011395,21,56.49593015875352
291,2023,Keith Smith,RB,00-0030968,ATL,3,0,0,0.0,0,0.0,0.0,106,2.759821909402871,0.0,0.0,3,3,2.3196175,33,18.0,34.24033164978027,23.91576350113337,0,0.2151756309904158,81,666.0,3.660418371204287,0.037037037037037035,0.0582118554387939,0.058784436413923495,2.504223107569721,0.09274900398406376,0.0674162045649573,0.1010279211432981,18.0,3.723684210526316,0.22043937432202987,0.0906567532978302,0.09182127517235246,0.09272916206640762,2.980829459025306,2.3196175694465637,3,6,0.2151756309904158,6.002247705502395,3.682630136055832,0.0,0.11979405034324943,187,0.048577519233749214,268,0.06871289372967601,6.420240280607158,0.03351519905576911,205.04143828945314,0.08745635336254082,149.80500332312738,0.07159636028875538,33,0,6.3,3.3,0.29775229449760454,-0.3826301360558322,0.016042780748663103,0.022388059701492536,2.1,2.000749235167465,1.2275433786852774,0.09925076483253514,33,23.91576350113337
292,2023,Kendre Miller,RB,00-0038551,NO,6,28,83,124.19623637199402,0,0.027763225416838067,8.3,159,4.894674930446619,0.1761006289308176,0.005672128550180305,10,9,4.862311,111,-10.0,64.03189849853516,51.31251657994261,0,0.06358100799843669,204,1814.0,10.087235995335504,0.049019607843137254,-0.06378868093401172,0.0063031149492128015,6.306932270916335,0.30916334661354583,-0.056829888077847376,0.038348848322557916,-6.75,,0.44275578385092396,0.19043978689927032,0.23199092077045913,0.26202587743097155,-0.4067412403063262,8.005936920642853,38,48,0.09134423341527476,26.104877616328164,18.09894069568531,1.0094830659536542,0.32493857366982143,363,0.6321479578616013,567,0.5263761688107821,14.981910925782124,0.00609696812828342,447.7154187088476,0.36936333320470566,309.68772889428,0.3640842046353734,194,0,28.4,19.4,2.2951223836718357,1.3010593043146879,0.1046831955922865,0.08465608465608465,4.733333333333333,4.350812936054694,3.0164901159475517,0.38252039727863973,194,175.50875295193663
